Extension,Instruction Count
rv64_d,6
rv_zvbb,16
rv_zksh,2
rv_zimop,42
rv64_zfh,4
rv_h,12
rv_d,29
rv_zvkg,2
rv64_zbb,9
rv_zfbfmin,2
rv_zabha,20
rv_q_zfa,7
rv64_zcb,2
rv_zbkb,8
rv64_h,3
rv_zbs,4
rv_zicfiss,7
rv64_zks,6
rv32_zbs,4
rv_zfh_zfa,7
rv_zcmp,6
rv_zbb,15
rv64_i,16
rv_s,2
rv_d_zfh,2
rv_c_d,4
rv32_zilsd,2
rv_c_zihintntl,4
rv32_zknh,6
rv_zvkn,23
rv_zfh,31
rv32_i,6
rv_zbkc,2
rv64_q_zfa,2
rv_zksed,2
rv32_zclsd,4
rv_zicntr,3
rv_system,2
rv_zba,3
rv_i,64
rv64_f,4
rv32_zkn,14
rv_zicbo,7
rv64_zbkb,6
rv_zvkned,11
rv64_zk,17
rv_zvksed,3
rv32_zkne,2
rv_zicfilp,1
rv_zkn,16
rv32_d_zfa,2
rv64_zknh,4
rv_zvfbfwma,2
rv_m,8
rv64_zkn,17
rv_c,23
rv_q_zfh,2
rv64_zba,6
rv_v_aliases,11
rv64_q,4
rv_a,11
rv32_zbkb,4
rv32_zbb,3
rv_zcb,11
rv64_zknd,5
rv_smrnmi,1
rv_zvksh,2
rv64_a,11
rv32_c,7
rv_f_zfa,7
rv_c_zicfiss,2
rv64_zbs,4
rv64_zacas,1
rv_zks,16
rv_zvknha,3
rv32_zicntr,3
rv64_c,10
rv_zacas,2
rv_zawrs,2
rv_zicsr,13
rv_d_zfa,8
rv_zbkx,2
rv_zbc,3
rv_zihintntl,4
rv_zvknhb,3
rv_zk,16
rv32_c_f,4
rv32_zk,14
rv_zknh,4
rv_ssctr,1
rv32_zknd,2
rv64_zkne,4
rv_zicond,2
rv_f,39
rv_zvbc,4
rv_svinval,3
rv_zvks,14
rv_zvfbfmin,2
rv_v,375
rv_q,31
rv_svinval_h,2
rv_sdext,1
rv_zcmt,1
rv32_zks,4
rv_zifencei,1
rv64_m,5
rv_zcmop,9
